- - [16/Aug/2020:22:41:16] "GET /product.screen?productId=BS-AG-G09&JSESSIONID=SD4SL1FF4ADFF6059 HTTP 1.1" 200 2839 "http://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 203
- - [22/Aug/2020:13:42:16] "POST /cart.do?action=addtocart&itemId=EST-21&productId=DB-SG-G01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 3730 "http://www.buttercupgames.com/product.screen?productId=DB-SG-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 141
- - [22/Aug/2020:13:42:18] "POST /cart.do?action=purchase&itemId=EST-21&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 1666 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-21&categoryId=STRATEGY&productId=DB-SG-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 394
- - [22/Aug/2020:13:42:19] "POST /cart/success.do?JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 622 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-21" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 637
- - [22/Aug/2020:13:42:16] "GET /oldlink?itemId=EST-6&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 2974 "http://www.buttercupgames.com/product.screen?productId=MB-AG-T01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 450
- - [22/Aug/2020:13:42:17] "GET /oldlink?itemId=EST-14&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 1211 "http://www.buttercupgames.com/product.screen?productId=WC-SH-T02" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 507
- - [22/Aug/2020:13:42:17] "GET /product.screen?productId=SF-BVS-G01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 505 372 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 440
- - [22/Aug/2020:13:42:18] "POST /oldlink?itemId=EST-7&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 408 1008 "http://www.buttercupgames.com/category.screen?categoryId=NULL" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 663
- - [22/Aug/2020:13:42:18] "GET /cart.do?action=addtocart&itemId=EST-19&productId=WC-SH-A01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 2991 "http://www.buttercupgames.com/oldlink?itemId=EST-19" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 980
- - [22/Aug/2020:13:42:20] "POST /cart.do?action=view&itemId=EST-19&productId=CU-PG-G06&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 3278 "http://www.buttercupgames.com/oldlink?itemId=EST-19" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 887
- - [22/Aug/2020:13:42:22] "GET show.do?productId=SF-BVS-01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 404 1889 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 604
- - [22/Aug/2020:16:41:31] "GET /oldlink?itemId=EST-21&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 3215 "http://www.yahoo.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 233
- - [22/Aug/2020:16:41:32] "GET /product.screen?productId=SC-MG-G10&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 3405 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-21&productId=SC-MG-G10" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 263
- - [22/Aug/2020:16:41:32] "POST /cart.do?action=view&itemId=EST-13&productId=WC-SH-T02&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 3709 "http://www.buttercupgames.com/oldlink?itemId=EST-13" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 943
- - [22/Aug/2020:16:41:33] "GET /category.screen?categoryId=STRATEGY&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 1691 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 897
- - [22/Aug/2020:16:41:33] "GET /cart.do?action=addtocart&itemId=EST-17&productId=FS-SG-G03&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 462 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 514
- - [22/Aug/2020:16:41:34] "GET /cart.do?action=view&itemId=EST-7&productId=DB-SG-G01&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 2890 "http://www.buttercupgames.com/oldlink?itemId=EST-7" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 251
- - [22/Aug/2020:16:41:35] "GET /product.screen?productId=MB-AG-T01&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 362 "http://www.buttercupgames.com/cart.do?action=remove&itemId=EST-6&productId=MB-AG-T01" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 906
- - [22/Aug/2020:16:41:35] "GET /oldlink?itemId=EST-18&JSESSIONID=SD1SL5FF6ADFF45642 HTTP 1.1" 200 1577 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-18&productId=SC-MG-G10" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 307
- - [22/Aug/2020:23:22:02] "GET /oldlink?itemId=EST-27&JSESSIONID=SD2SL6FF3ADFF47613 HTTP 1.1" 200 445 "http://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3" 197
- - [22/Aug/2020:23:22:02] "GET /category.screen?categoryId=NULL&JSESSIONID=SD2SL6FF3ADFF47613 HTTP 1.1" 400 1181 "http://www.buttercupgames.com/oldlink?itemId=EST-18" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3" 571
- - [22/Aug/2020:23:22:03] "GET /category.screen?categoryId=SHOOTER&JSESSIONID=SD2SL6FF3ADFF47613 HTTP 1.1" 200 1707 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3" 220
- - [22/Aug/2020:23:22:03] "GET /cart.do?action=view&itemId=EST-11&JSESSIONID=SD2SL6FF3ADFF47613 HTTP 1.1" 406 1625 "http://www.buttercupgames.com/category.screen?categoryId=NULL" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3" 182
- - [22/Aug/2020:23:56:03] "GET /oldlink?itemId=EST-18&JSESSIONID=SD1SL8FF9ADFF47798 HTTP 1.1" 200 584 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 169
- - [22/Aug/2020:23:56:04] "GET /cart.do?action=remove&itemId=EST-19&productId=DC-SG-G02&JSESSIONID=SD1SL8FF9ADFF47798 HTTP 1.1" 200 426 "http://www.buttercupgames.com/oldlink?itemId=EST-19" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 935
- - [22/Aug/2020:23:56:05] "GET /cart.do?action=addtocart&itemId=EST-7&productId=FS-SG-G03&JSESSIONID=SD1SL8FF9ADFF47798 HTTP 1.1" 200 1615 "http://www.buttercupgames.com/oldlink?itemId=EST-7" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 824
- - [22/Aug/2020:23:56:06] "GET /oldlink?itemId=EST-21&JSESSIONID=SD1SL8FF9ADFF47798 HTTP 1.1" 200 484 "http://www.buttercupgames.com/category.screen?categoryId=ARCADE" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 110
- - [23/Aug/2020:14:22:38] "POST /product.screen?productId=WC-SH-A02&JSESSIONID=SD8SL9FF7ADFF51850 HTTP 1.1" 200 469 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 824
- - [23/Aug/2020:14:22:38] "GET /oldlink?itemId=EST-17&JSESSIONID=SD8SL9FF7ADFF51850 HTTP 1.1" 200 3142 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 762
- - [23/Aug/2020:14:22:38] "GET /oldlink?itemId=EST-21&JSESSIONID=SD8SL9FF7ADFF51850 HTTP 1.1" 503 3050 "http://www.buttercupgames.com/cart.do?action=changequantity&itemId=EST-21" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 889
- - [17/Aug/2020:01:11:51] "GET /oldlink?itemId=EST-15&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 200 3497 "http://www.buttercupgames.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 161
- - [17/Aug/2020:01:11:51] "GET /product.screen?productId=BS-AG-G09&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 200 1396 "http://www.buttercupgames.com/category.screen?categoryId=ARCADE" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 584
- - [17/Aug/2020:01:11:52] "GET /product.screen?productId=FS-SG-G03&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 200 3128 "http://www.buttercupgames.com/oldlink?itemId=EST-7" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 298
- - [17/Aug/2020:01:11:52] "GET /category.screen?categoryId=TEE&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 200 578 "http://www.buttercupgames.com/oldlink?itemId=EST-27" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 102
- - [17/Aug/2020:01:11:53] "POST /category.screen?categoryId=NULL&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 400 2735 "http://www.buttercupgames.com/cart.do?action=remove&itemId=EST-27" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 910
- - [17/Aug/2020:01:11:54] "GET /oldlink?itemId=EST-14&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 200 772 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-14&productId=DC-SG-G02" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 231
- - [17/Aug/2020:01:11:54] "POST /oldlink?itemId=EST-14&JSESSIONID=SD7SL4FF6ADFF6794 HTTP 1.1" 408 3373 "http://www.buttercupgames.com/cart.do?action=remove&itemId=EST-14" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 323
